time (s)	det(V)
3902.347498	-0.283094	
3902.349497	-0.263938	
3902.351498	-0.244270	
3902.353498	-0.225264	
3902.355499	-0.207617	
3902.359498	-0.194687	
3902.363498	-0.175040	
3902.365498	-0.145841	
3902.367498	-0.133464	
3902.369500	-0.115763	
3902.371498	-0.108357	
3902.375497	-0.096766	
3902.377498	-0.088349	
3902.379499	-0.082809	
3902.381498	-0.071530	
3902.383498	-0.068529	
3902.385499	-0.050500	
3902.387498	-0.040421	
3902.389505	-0.038684	
3902.391498	-0.028154	
3902.393498	-0.028534	
3902.395498	-0.025525	
3902.397498	-0.023467	
3902.401498	-0.024463	
3902.403498	-0.008770	
3902.405498	0.000652	
3902.407498	0.006901	
3902.409498	0.009555	
3902.411498	0.009666	
3902.415497	0.012047	
3902.417497	0.007973	
3902.419498	0.014528	
3902.423498	0.017485	
3902.425498	0.033081	
3902.427498	0.027934	
3902.429498	0.027988	
3902.431498	0.032472	
3902.433498	0.028447	
3902.437498	0.031214	
3902.441500	0.029979	
3902.443498	0.038194	
3902.445500	0.038311	
3902.447498	0.040354	
3902.449498	0.038111	
3902.453498	0.042581	
3902.455498	0.035993	
3902.457498	0.040707	
3902.459498	0.039820	
3902.461501	0.040910	
3902.463498	0.041929	
3902.465498	0.043304	
3902.467498	0.039704	
3902.469498	0.046728	
3902.473497	0.048696	
3902.475497	0.042972	
3902.477498	0.037619	
3902.479498	0.033154	
3902.481498	0.042451	
3902.483498	0.037183	
3902.485498	0.045992	
3902.487498	0.046196	
3902.489498	0.043049	
3902.493497	0.048021	
3902.495497	0.032428	
3902.499498	0.035991	
3902.501498	0.039721	
3902.503498	0.041648	
3902.505498	0.039696	
3902.507498	0.043406	
3902.511497	0.044140	
3902.513498	0.031371	
3902.515498	0.027696	
3902.519500	0.028216	
3902.521498	0.038584	
3902.523498	0.039043	
3902.525499	0.039037	
3902.527498	0.034358	
3902.531498	0.029568	
3902.533498	0.017601	
3902.537499	0.025592	
3902.539498	0.031032	
3902.541498	0.034367	
3902.543498	0.030031	
3902.545498	0.026179	
3902.549497	0.030942	
3902.551498	0.020694	
3902.553498	0.021635	
3902.555498	0.018932	
3902.557499	0.027214	
3902.559498	0.026065	
3902.561500	0.025046	
3902.563500	0.023604	
3902.565498	0.019646	
3902.569497	0.019163	
3902.571498	0.017935	
3902.573498	0.014083	
3902.575499	0.018559	
3902.577498	0.017245	
3902.579498	0.015531	
3902.581498	0.021621	
3902.583498	0.013933	
3902.585502	0.018179	
3902.589497	0.019639	
3902.593498	0.013018	
3902.595500	0.007643	
3902.597498	0.012596	
3902.599498	0.010824	
3902.601498	0.013152	
3902.603498	0.013138	
3902.607498	0.011515	
3902.609498	0.005060	
3902.611498	0.002717	
3902.615498	0.002575	
3902.617498	0.002669	
3902.619498	0.009627	
3902.621498	0.009672	
3902.623498	0.007193	
3902.625498	0.011673	
3902.629498	0.001322	
3902.633498	-0.000844	
3902.635499	0.002771	
3902.637499	0.003542	
3902.639498	0.000660	
3902.641498	0.004229	
3902.645497	-0.000394	
3902.647498	-0.007985	
3902.649498	-0.012238	
3902.651498	-0.009463	
3902.653498	-0.004316	
3902.655498	-0.007082	
3902.657498	-0.000452	
3902.659498	-0.004561	
3902.661498	-0.006019	
